Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,White,Black or African American,Asian,American Indian and Alaska Native,Hawaiian and Other Pacific Islander,Two or More Mixed,Other
08518,5217.0,41.5,74286.0,33963.0,170,3.258577726662833,3774.0,755.0,439.0,0,0,101.0,148.0
08520,27468.0,37.4,90293.0,37175.0,1834,6.6768603465851175,18000.0,1428.0,4117.0,79,17,834.0,2993.0
08525,4782.0,47.1,118656.0,59848.0,43,0.8992053534086156,4481.0,142.0,108.0,0,0,50.0,1.0
08527,54867.0,42.2,88588.0,37021.0,2191,3.9932928718537553,48726.0,2807.0,1569.0,23,41,1196.0,505.0
08528,245.0,48.5,58676.0,49117.0,0,0.0,245.0,0.0,0.0,0,0,0.0,0.0
08530,7568.0,43.8,87396.0,46371.0,249,3.290169133192389,6289.0,535.0,209.0,8,0,20.0,507.0
08533,6789.0,41.0,85301.0,30981.0,459,6.760936809544852,6433.0,175.0,20.0,0,0,138.0,23.0
08534,13312.0,44.1,144250.0,66609.0,339,2.546574519230769,11113.0,467.0,1338.0,0,0,239.0,155.0
08535,5657.0,43.5,147853.0,59097.0,127,2.245006187024925,4854.0,244.0,316.0,0,0,243.0,0.0
08536,19944.0,34.0,90089.0,46406.0,673,3.3744484556758927,7645.0,1096.0,9685.0,73,0,602.0,843.0
08540,47316.0,37.5,125439.0,61810.0,1969,4.161383041677234,30208.0,2031.0,13066.0,66,50,1111.0,784.0
08542,4756.0,26.3,71393.0,37662.0,351,7.380151387720773,3626.0,578.0,333.0,0,0,81.0,138.0
08550,19357.0,43.4,169661.0,70463.0,983,5.078266260267603,11084.0,444.0,7039.0,0,0,517.0,273.0
08551,5212.0,43.4,121154.0,54299.0,147,2.8204144282425174,4906.0,23.0,151.0,0,0,106.0,26.0
08553,543.0,51.6,90972.0,57618.0,20,3.6832412523020257,531.0,8.0,4.0,0,0,0.0,0.0
08554,4023.0,39.6,71750.0,30004.0,169,4.200845140442456,3372.0,228.0,39.0,0,0,288.0,96.0
08555,812.0,40.3,78083.0,30321.0,70,8.620689655172415,637.0,30.0,41.0,0,0,55.0,49.0
08558,6495.0,44.2,154236.0,68556.0,187,2.8791377983063895,5096.0,16.0,1238.0,7,0,84.0,54.0
08559,5226.0,48.4,108871.0,56242.0,93,1.7795637198622274,5072.0,24.0,35.0,0,0,95.0,0.0
08560,3249.0,47.0,113333.0,59497.0,175,5.38627269929209,3181.0,0.0,68.0,0,0,0.0,0.0
08561,0.0,-666666666.0,-666666666.0,-666666666.0,0,,0.0,0.0,0.0,0,0,0.0,0.0
08562,5713.0,34.9,65036.0,26970.0,485,8.489410117276387,4618.0,701.0,120.0,53,0,147.0,74.0
08608,921.0,37.6,14861.0,13521.0,321,34.85342019543974,237.0,483.0,0.0,9,0,17.0,175.0
08609,14884.0,33.0,27073.0,15337.0,5132,34.47997850040312,3415.0,8507.0,210.0,52,0,197.0,2503.0
08610,29222.0,38.5,61016.0,28416.0,3005,10.28334816234344,20874.0,3822.0,555.0,4,0,664.0,3303.0
08611,26477.0,32.3,38672.0,16727.0,6253,23.616723949087888,13238.0,7132.0,456.0,141,0,562.0,4948.0
