Province/State,Country/Region,Lat,Long,8/7/2020
,Afghanistan,33.93911,67.709953,37015
,Albania,41.1533,20.1683,6151
,Algeria,28.0339,1.6596,34155
,Andorra,42.5063,1.5218,955
,Angola,-11.2027,17.8739,1538
,Antigua and Barbuda,17.0608,-61.7964,92
,Argentina,-38.4161,-63.6167,235677
,Armenia,40.0691,45.0382,39985
Australian Capital Territory,Australia,-35.4735,149.0124,113
New South Wales,Australia,-33.8688,151.2093,3851
Northern Territory,Australia,-12.4634,130.8456,33
Queensland,Australia,-27.4698,153.0251,1088
South Australia,Australia,-34.9285,138.6007,459
Tasmania,Australia,-42.8821,147.3272,229
Victoria,Australia,-37.8136,144.9631,14283
Western Australia,Australia,-31.9505,115.8605,642
,Austria,47.5162,14.5501,21837
,Azerbaijan,40.1431,47.5769,33376
,Bahamas,25.025885,-78.035889,830
,Bahrain,26.0275,50.55,43307
,Bangladesh,23.685,90.3563,252502
,Barbados,13.1939,-59.5432,138
,Belarus,53.7098,27.9534,68614
,Belgium,50.8333,4.469936,72784
,Benin,9.3077,2.3158,1936
,Bhutan,27.5142,90.4336,108
,Bolivia,-16.2902,-63.5887,87891
,Bosnia and Herzegovina,43.9159,17.6791,13687
,Brazil,-14.235,-51.9253,2962442
,Brunei,4.5353,114.7277,142
,Bulgaria,42.7339,25.4858,13209
,Burkina Faso,12.2383,-1.5616,1158
,Cabo Verde,16.5388,-23.0418,2780
,Cambodia,11.55,104.9167,246
,Cameroon,3.848,11.5021,17718
Alberta,Canada,53.9333,-116.5765,11430
British Columbia,Canada,53.7267,-127.6476,3934
Grand Princess,Canada,0,0,13
Manitoba,Canada,53.7609,-98.8139,491
New Brunswick,Canada,46.5653,-66.4619,176
Newfoundland and Labrador,Canada,53.1355,-57.6604,267
Nova Scotia,Canada,44.682,-63.7443,1071
Ontario,Canada,51.2538,-85.3232,41815
Prince Edward Island,Canada,46.5107,-63.4168,36
Quebec,Canada,52.9399,-73.5491,60241
Saskatchewan,Canada,52.9399,-106.4509,1409
,Central African Republic,6.6111,20.9394,4641
,Chad,15.4542,18.7322,942
,Chile,-35.6751,-71.543,368825
Anhui,China,31.8257,117.2264,991
Beijing,China,40.1824,116.4142,935
Chongqing,China,30.0572,107.874,583
Fujian,China,26.0789,117.9874,367
Gansu,China,35.7518,104.2861,167
Guangdong,China,23.3417,113.4244,1688
Guangxi,China,23.8298,108.7881,255
Guizhou,China,26.8154,106.8748,147
Hainan,China,19.1959,109.7453,171
Hebei,China,39.549,116.1306,349
Heilongjiang,China,47.862,127.7615,947
Henan,China,37.8957,114.9042,1276
Hong Kong,China,22.3,114.2,3938
Hubei,China,30.9756,112.2707,68139
Hunan,China,27.6104,111.7088,1019
Inner Mongolia,China,44.0935,113.9448,258
Jiangsu,China,32.9711,119.455,659
Jiangxi,China,27.614,115.7221,932
Jilin,China,43.6661,126.1923,157
Liaoning,China,41.2956,122.6085,259
Macau,China,22.1667,113.55,46
Ningxia,China,37.2692,106.1655,75
Qinghai,China,35.7452,95.9956,18
Shaanxi,China,35.1917,108.8701,328
Shandong,China,36.3427,118.1498,806
Shanghai,China,31.202,121.4491,766
Shanxi,China,37.5777,112.2922,201
Sichuan,China,30.6171,102.7103,611
Tianjin,China,39.3054,117.323,205
Tibet,China,31.6927,88.0924,1
Xinjiang,China,41.1129,85.2401,824
Yunnan,China,24.974,101.487,191
Zhejiang,China,29.1832,120.0934,1271
,Colombia,4.5709,-74.2973,367204
,Congo (Brazzaville),-0.228,15.8277,3637
,Congo (Kinshasa),-4.0383,21.7587,9355
,Costa Rica,9.7489,-83.7534,22081
,Cote d'Ivoire,7.54,-5.5471,16524
,Croatia,45.1,15.2,5466
,Diamond Princess,0,0,712
,Cuba,21.521757,-77.781167,2829
,Cyprus,35.1264,33.4299,1222
,Czechia,49.8175,15.473,18060
Faroe Islands,Denmark,61.8926,-6.9118,291
Greenland,Denmark,71.7069,-42.6043,14
,Denmark,56.2639,9.5018,14442
,Djibouti,11.8251,42.5903,5338
,Dominican Republic,18.7357,-70.1627,77709
,Ecuador,-1.8312,-78.1834,91969
,Egypt,26.820553,30.802498,95147
,El Salvador,13.7942,-88.8965,19544
,Equatorial Guinea,1.6508,10.2679,4821
,Eritrea,15.1794,39.7823,285
,Estonia,58.5953,25.0136,2133
,Eswatini,-26.5225,31.4659,3036
,Ethiopia,9.145,40.4897,21452
,Fiji,-17.7134,178.065,27
,Finland,61.92411,25.748151,7554
French Guiana,France,3.9339,-53.1258,8204
French Polynesia,France,-17.6797,149.4068,69
Guadeloupe,France,16.265,-61.551,290
Mayotte,France,-12.8275,45.166244,3068
New Caledonia,France,-20.904305,165.618042,22
Reunion,France,-21.1151,55.5364,675
Saint Barthelemy,France,17.9,-62.8333,9
St Martin,France,18.0708,-63.0501,53
Martinique,France,14.6415,-61.0242,336
,France,46.2276,2.2137,222477
,Gabon,-0.8037,11.6094,7923
,Gambia,13.4432,-15.3101,1090
,Georgia,42.3154,43.3569,1213
,Germany,51.165691,10.451526,216196
,Ghana,7.9465,-1.0232,40097
,Greece,39.0742,21.8243,5270
,Guatemala,15.7835,-90.2308,55270
,Guinea,9.9456,-9.6966,7777
,Guyana,4.860416,-58.93018,538
,Haiti,18.9712,-72.2852,7599
,Holy See,41.9029,12.4534,12
,Honduras,15.2,-86.2419,46365
,Hungary,47.1625,19.5033,4621
,Iceland,64.9631,-19.0208,1952
,India,20.593684,78.96288,2088611
,Indonesia,-0.7893,113.9213,121226
,Iran,32.427908,53.688046,322567
,Iraq,33.223191,43.679291,144064
,Ireland,53.1424,-7.6921,26470
,Israel,31.046051,34.851612,80991
,Italy,41.87194,12.56738,249756
,Jamaica,18.1096,-77.2975,987
,Japan,36.204824,138.252924,45764
,Jordan,31.24,36.51,1237
,Kazakhstan,48.0196,66.9237,97829
,Kenya,-0.0236,37.9062,25138
